hw.ncpu: 1
hw.physmem: 2105200640
time,v_inactive_count,v_inactive_target,v_active_count,v_free_count,v_free_min,v_free_target,v_free_reserved,v_pdpages,v_pdwakeups,v_vnodepgsout,v_vnodepgsin,v_vnodeout,v_vnodein,v_swappgsout,v_swappgsin
0.000, 354944, 16057, 5125, 20405, 3202, 10705, 701, 238968, 15, 10581, 17067, 669, 2120, 0, 0
1.019, 354944, 16057, 5125, 20405, 3202, 10705, 701, 238976, 15, 10581, 17067, 669, 2120, 0, 0
2.042, 354944, 16057, 5125, 20405, 3202, 10705, 701, 238984, 15, 10581, 17067, 669, 2120, 0, 0
3.098, 354944, 16057, 5125, 20405, 3202, 10705, 701, 238992, 15, 10581, 17067, 669, 2120, 0, 0
4.104, 355125, 16057, 5305, 19930, 3202, 10705, 701, 239000, 15, 10581, 17300, 669, 2138, 0, 0
5.109, 358993, 16057, 5764, 15567, 3202, 10705, 701, 239009, 15, 10581, 21428, 669, 2403, 0, 0
6.115, 361280, 16057, 5729, 13088, 3202, 10705, 701, 239018, 15, 10581, 21451, 669, 2409, 0, 0
7.163, 362165, 16057, 6660, 11357, 3202, 10705, 701, 239029, 15, 10581, 22272, 669, 2465, 0, 0
8.176, 363080, 16057, 6944, 10060, 3202, 10705, 701, 239040, 15, 10581, 23202, 669, 2534, 0, 0
9.181, 364432, 16057, 10456, 5221, 3202, 10705, 701, 239056, 15, 10581, 24436, 669, 2617, 0, 0
10.187, 360087, 16057, 13056, 9197, 3202, 10705, 701, 244047, 16, 10581, 25056, 669, 2661, 0, 0
11.191, 360589, 16057, 13471, 8273, 3202, 10705, 701, 244068, 16, 10581, 25592, 669, 2695, 0, 0
12.195, 360626, 16057, 9587, 12133, 3202, 10705, 701, 244090, 16, 10581, 25614, 669, 2696, 0, 0
13.199, 360651, 16057, 12984, 8687, 3202, 10705, 701, 244109, 16, 10581, 25635, 669, 2698, 0, 0
14.203, 360651, 16057, 13439, 8229, 3202, 10705, 701, 244130, 16, 10581, 25635, 669, 2698, 0, 0
15.209, 360651, 16057, 13657, 8009, 3202, 10705, 701, 244152, 16, 10581, 25635, 669, 2698, 0, 0
16.213, 360651, 16057, 7247, 14443, 3202, 10705, 701, 244175, 16, 10581, 25635, 669, 2698, 0, 0
17.217, 360675, 16057, 8620, 13052, 3202, 10705, 701, 244191, 16, 10581, 25635, 669, 2698, 0, 0
18.222, 360691, 16057, 7082, 14598, 3202, 10705, 701, 244202, 16, 10581, 25635, 669, 2698, 0, 0
